section,group,id,name,cost,unit
Interior/General,Flooring,ig-01,Refinish Hardwood Floor,2.35,sqft
Interior/General,Flooring,ig-02,New Hardwoods 1.5",10,sqft
Interior/General,Flooring,ig-03,New Hardwoods 2",4.75,sqft
Interior/General,Flooring,ig-04,Hardwood Splicing,8.4,sqft
Interior/General,Flooring,ig-05,Vinyl Plank,2.5,sqft
Interior/General,Flooring,ig-06,Carpet,1.9,sqft
Interior/General,Paint,ig-07,Interior Paint — 2 Tone,2.95,sqft
Interior/General,Paint,ig-08,Drywall Repair,900,"1,000 sqft"
Interior/General,Paint,ig-09,Wallpaper Removal,250,room
Interior/General,Paint,ig-19,"Trim Out (Casing, Crown, Baseboard)",3.75,LF
Interior/General,Doors,ig-10,Interior Door — Hollow Slab,125,ea.
Interior/General,Doors,ig-11,Interior Door Hardware (Knob + Hinges + Labor),25,ea.
Interior/General,Doors,ig-12,Bifold Door with Framing,400,ea.
Interior/General,Doors,ig-13,Interior Door — Pre-hung,200,ea.
Interior/General,Doors,ig-14,Front Entry Door,475,ea.
Interior/General,Doors,ig-15,Front Entry Door Hardware,80,ea.
Interior/General,Doors,ig-16,Exterior Door Hardware,75,handle
Interior/General,Doors,ig-17,Exterior Insulated Side Door (Installed),500,ea.
Interior/General,Doors,ig-18,Sliding Glass Door,1025,ea.
Interior/General,Pest Control,ig-23,Bedbug Spray / Heat Treat,475,ea.
Interior/General,Pest Control,ig-24,Termite Treatment,650,ea.
Interior/General,Lighting,ig-22,Light Fixtures,70,100 sqft
Interior/General,General,ig-20,MISC / Punch List,2650,flat
Interior/General,General,ig-21,Finish Out Labor,1350,flat
Interior/General,General,ig-25,Demo,1375,variable
Interior/General,General,ig-26,Haul Off,725,load
Interior/General,General,ig-27,Final Cleaning,325,flat
Interior/General,General,ig-28,Staging,0.9,sqft
Kitchen,Cabinets,kt-01,Hinges and Pulls,275,kitchen
Kitchen,Cabinets,kt-02,Cabinets Uppers,125,LF
Kitchen,Cabinets,kt-03,Cabinets Lowers,150,LF
Kitchen,Cabinets,kt-04,Cabinet Door Faces Only,80,door
Kitchen,Cabinets,kt-05,Cabinets (Labor & Paint),1100,kitchen
Kitchen,Cabinets,kt-08,Misc Woodwork,500,variable
Kitchen,Countertops & Tile,kt-06,"Granite + 4"" Splash Guard",40,LF
Kitchen,Countertops & Tile,kt-07,Backsplash,725,house
Kitchen,Countertops & Tile,kt-09,Tile — Large Areas,6.45,sqft
Kitchen,Countertops & Tile,kt-10,Tile — Small Areas,10,sqft
Kitchen,Countertops & Tile,kt-11,Undermount Kitchen Sink,325,ea.
Kitchen,Appliances,kt-12,Microwave / Hood,500,ea.
Kitchen,Appliances,kt-13,Range,725,ea.
Kitchen,Appliances,kt-14,Wall Oven,1075,ea.
Kitchen,Appliances,kt-15,Cooktop,550,ea.
Kitchen,Appliances,kt-16,Dishwasher,575,ea.
Kitchen,Appliances,kt-17,Fridge,1175,ea.
